FIELD ERD,Field LightBox Data,Field CoStar Data,Aligned CoStar Data
improvement_subrecords_noofescalators,Sites_wetlandstype,,
improvement_subrecords_noofgolfholes,Sites_wetlandacres,,
improvement_subrecords_noofhalfbaths,Sites_percentwetlands,,
improvement_subrecords_noofrooms,Sites_woodlandacres,,
improvement_subrecords_noofseats,Sites_otheracres,,
improvement_subrecords_noofspaces,Sites_wasteacres,,
improvement_subrecords_noofstories,Sites_homesiteacres,,
improvement_subrecords_nooftruckdoors,Sites_sitecomments,,
improvement_subrecords_nooftruckdoorswithlevelers,Improvement_BuildingDescription,,
improvement_subrecords_noofunits,Improvement_noofbuildings,,
improvement_subrecords_parking,Improvement_constructionclass,,
improvement_subrecords_parkingadequacy,Improvement_buildingclass,,
improvement_subrecords_parkingcomments,Improvement_perimeter,,
improvement_subrecords_parkingcondition,Improvement_sourceforsfarea,,
improvement_subrecords_parkingtype,Improvement_noofmultifamilyunits,,
improvement_subrecords_porchordeck,Improvement_gbamultifamily,,
improvement_subrecords_proportionrenovated,Improvement_ramultifamily,,
improvement_subrecords_quality,Improvement_noofmultifamilyrooms,,
improvement_subrecords_ratotalmeters,Improvement_noofmultifamilybedrooms,,
improvement_subrecords_remainingeconomiclife,Improvement_noofmfbathrooms,,
improvement_subrecords_renovations,Improvement_multifamilyamenities,,
improvement_subrecords_residentialamenities,Improvement_noofofficeunits,,
improvement_subrecords_residentialdesign,Improvement_gbaoffice,,
improvement_subrecords_roofcover,Improvement_raoffice,,
improvement_subrecords_rooftype,Improvement_usablearea,,
improvement_subrecords_sourceforsfarea,Improvement_loadfactor,,
improvement_subrecords_sprinklers,Improvement_percentoffice,,
improvement_subrecords_surfaceparkingspaces,Improvement_percentofficera,,
improvement_subrecords_tenantimprovements,Improvement_noofretailunits,,
improvement_subrecords_totaleconomiclife,Improvement_gbaretail,,
improvement_subrecords_typicalbaydepth,Improvement_raretailgla,,
improvement_subrecords_usablearea,Improvement_percentretail,,
improvement_subrecords_yearbuilt,Improvement_noofindustrialunits,,
improvement_value,Improvement_gbaindustrial,,
improvement_value_per_sf,Improvement_raindustrial,,
