Web Page Name,Web Display Name,Excel Template Name,Description,Date Added,Version,Data Type,Display Format,Interface Calculation,API Object,API Field Name,Enumeration ID,Model,API Object_API Field Name,Property Type,,,,,
General,District Spending,District Spending,School District Spending.,8/28/2020,1.20.2,float,"$#,###",,Parcel,districtspending,,public double? DistrictSpending { get; set; },Parcel_districtspending,"Multi-Family (MF), Manufactured Housing",,,,,
General,District URL,DistrictURL,School District website,8/28/2020,1.20.2,text,hyperlink,,Parcel,districturl,,public string DistrictURL { get; set; },Parcel_districturl,"Multi-Family (MF), Manufactured Housing",,,,,
General,Student Teacher Ratio,Student Teacher Ratio,The Student to Teacher ratio for the District.,8/28/2020,1.20.2,float,##.##,,Parcel,studentteacherratio,,public double? StudentTeacherRatio { get; set; },Parcel_studentteacherratio,"Multi-Family (MF), Manufactured Housing",,,,,
General,Enrollment,Enrollment,Number of students enrolled in District.,8/28/2020,1.20.2,float,"#,###",,Parcel,enrollment,,public double? Enrollment { get; set; },Parcel_enrollment,"Multi-Family (MF), Manufactured Housing",,,,,
General,Comments,Comments,Property Comments,1/25/2014,,string,TA,,Parcel,parcelcomments,,public string ParcelComments { get; set; },Parcel_parcelcomments,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
General,PGIM,PGIM,PGIM,1/25/2014,,float,"#,##0.00",Auto-Calculated,Sales,pgim,,,Sales_pgim,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
General,EGIM,EGIM,EGIM,1/25/2014,,float,"#,##0.00",Auto-Calculated,Sales,egim,,public double? EGIM { get; set; },Sales_egim,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
General,Cap Rate,Cap Rate,Cap Rate,1/25/2014,,float,0.##%,Auto-Calculated,Sales,caprate,,,Sales_caprate,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
UAF,Appraisal File,Appraisal File,Appraisal File,1/25/2014,,text,General,,Parcel,appraisalfile,,public string AppraisalFile { get; set; },Parcel_appraisalfile,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
UAF,Other DB Refs,Other DB Refs,"Other DB Reference IDs (Historical, etc.)",1/25/2014,,text,,,Parcel,otherdbrefs,,public string OtherDBRefs { get; set; },Parcel_otherdbrefs,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
UAF,Supporting Files,Supporting Files,Supporting Files,1/25/2014,,text,@,,Parcel,supportingfiles,,public string SupportingFiles { get; set; },Parcel_supportingfiles,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
Transactions,Date,Date,"List, Contract or Sale Date",1/25/2014,,datetime,MM/dd/yyyy,,Sales,saledate,,,Sales_saledate,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
Transactions,Transaction Type,Transaction Type,"Transaction Type (List, Contract, Sale)",1/25/2014,,string,DDL,,Sales,transactiontype,,,Sales_transactiontype,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
,,,Sale Index,,,int,,,Sales,id,,,Sales_id,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
,,,Is this transaction marked as the active instance?,,,boolean,,,Sales,activestatus,,,Sales_activestatus,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
,,,Was this instance deleted?,,,boolean,,,Sales,isdeleted,,,Sales_isdeleted,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
,,,Is this instance marked as the instance that will import to excel? In times where used wants to utilize an older sale.,,,boolean,,,Sales,isexcel,,,Sales_isexcel,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
Transactions,Confidential,Confidential,Is this a confidential sale?,2/22/2019,,boolean,,,Sales,confidential,,,Sales_confidential,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
Transactions,Actual Price,Actual Price,The starting price of the Sale Transaction,10/9/2018,,float,"$#,##0",,Sales,priceactual,,,Sales_priceactual,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
Transactions,FF and E Adjustment,FF and E Adjustment,"FF&E at time of sale, contributory to sale price",4/30/2021,1.23.1,float,"$#,###",,Sales,ffandeadjustment,,,Sales_ffandeadjustment,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
Transactions,Excess Land Adjustment,Excess Land Adjustment,"Excess land price at time of sale, contributory to sale price",4/30/2021,1.23.1,float,"$#,###",,Sales,excesslandadjustment,,,Sales_excesslandadjustment,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
Transactions,Business Value Adjustment,Business Value Adjustment,"Business value at time of sale, contributory to sale price",4/30/2021,1.23.1,float,"$#,###",,Sales,businessvalueadjustment,,,Sales_businessvalueadjustment,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
Transactions,Financing Terms Adjustment,Financing Terms Adjustment,Adjustment to sale price based on financing terms,4/30/2021,1.23.1,float,"$#,###",,Sales,financingtermsadjustment,,,Sales_financingtermsadjustment,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
Transactions,Conditions of Sale Adjustment,Conditions of Sale Adjustment,Adjustment to sale price based on conditions of sale,4/30/2021,1.23.1,float,"$#,###",,Sales,conditionsofsaleadjustment,,,Sales_conditionsofsaleadjustment,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
Transactions,Expenditures after Sale Adjustment,Expenditures after Sale Adjustment,Adjustment to sale price based on expenditures after sale,4/30/2021,1.23.1,float,"$#,###",,Sales,expendituresaftersaleadjustment,,,Sales_expendituresaftersaleadjustment,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
Transactions,Other Adjustment,Other Adjustment,Adjustment to sale price based on other factors,4/30/2021,1.23.1,float,"$#,###",,Sales,otheradjustment,,,Sales_otheradjustment,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
Transactions,Price Adjustment,Price Adjustment,Adjustment to the original Price,10/9/2018,,float,"$#,##0",Calculate via Button,Sales,priceadjustment,,,Sales_priceadjustment,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
Transactions,Price,Price,"Price (List, Contract or Sale)",1/25/2014,,float,"$#,##0",,Sales,price,,,Sales_price,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
Transactions,Price Per SF,Price Per SF,Price Per SF GBA,1/25/2014,,float,"$#,##0.00",Auto-Calculated,Sales,pricepersf,,,Sales_pricepersf,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
Transactions,Price Per RA,Price Per RA,Price Per RA,1/10/2018,,float,"$#,##0.00",Auto-Calculated,Sales,priceperra,,,Sales_priceperra,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
Transactions,Price Per Unit,Price Per Unit,Price Per Unit,1/25/2014,,float,"$#,##0",Auto-Calculated,Sales,priceperunit,,,Sales_priceperunit,Multi-Family (MF),,,,,
Transactions,Price Per Room,Price Per Room,Price Per Room,1/25/2014,,float,"$#,##0",Auto-Calculated,Sales,priceperroom,,,Sales_priceperroom,Multi-Family (MF),,,,,
Transactions,Price Per Bedroom,Price Per Bedroom,Price Per Bedroom,4/30/2021,1.23.1,float,"$#,###.##",Auto-Calculated,Sales,priceperbedroom,,,Sales_priceperbedroom,Multi-Family (MF),,,,,
Transactions,Price Per Bed,Price Per Bed,Price Per Bed,1/25/2014,,float,"$#,##0",Auto-Calculated,Sales,priceperbed,,,Sales_priceperbed,Multi-Family (MF),,,,,
Transactions,Price Per MF Room,Price Per MF Room,Price Per MF Room,4/30/2021,1.23.1,float,"$#,###.##",Auto-Calculated,Sales,pricepermfroom,,,Sales_pricepermfroom,Multi-Family (MF),,,,,
Transactions,Price Per MF Bedroom,Price Per MF Bedroom,Price Per MF Bedroom,4/30/2021,1.23.1,float,"$#,###.##",Auto-Calculated,Sales,pricepermfbedroom,,,Sales_pricepermfbedroom,Multi-Family (MF),,,,,
Transactions,Price Per Land SF,Price Per Land SF,Price Per Land SF,1/25/2014,,float,"$#,##0.00",Auto-Calculated,Sales,priceperlandsf,,,Sales_priceperlandsf,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
Transactions,Price Per Acre,Price Per Acre,Price Per Acre,1/25/2014,,float,"$#,##0",Auto-Calculated,Sales,priceperacre,,,Sales_priceperacre,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
Transactions,Price Per Land Unit,Price Per Land Unit,Price Per Land Unit,1/25/2014,,float,"$#,##0",Auto-Calculated,Sales,priceperlandunit,,,Sales_priceperlandunit,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
Transactions,Price Per Usable Acre,Price Per Usable Acre,Price Per Usable Acre,10/15/2018,,float,"$#,##0",Auto-Calculated,Sales,priceperusableacre,,,Sales_priceperusableacre,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
Transactions,Price Per Buildable SF,Price Per Buildable SF,Price Per Buildable SF,4/30/2021,1.23.1,float,"$#,###.##",Auto-Calculated,Sales,priceperbuildablesf,,,Sales_priceperbuildablesf,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
Transactions,Price Per Primary Frontage Feet,Price Per Primary Frontage Feet,Price Per Primary Frontage Feet,4/30/2021,1.23.1,float,"$#,###.##",Auto-Calculated,Sales,priceperprimaryfrontage,,,Sales_priceperprimaryfrontage,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
Transactions,Price Per FAR,Price Per FAR,Price Per FAR,4/30/2021,1.23.1,float,"$#,###.##",Auto-Calculated,Sales,priceperfar,,,Sales_priceperfar,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
Transactions,Price Per Bay,Price Per Bay,Price Per Bay,4/30/2021,1.23.1,float,"$#,###.##",Auto-Calculated,Sales,priceperbay,,,Sales_priceperbay,Industrial,,,,,
