CoStar Source Fields,Consolidated ERD Fields,LightBox Aligned Fields,CoStar Aligned Fields
,priceactual,Sales_priceactual,
,primary_frontage_lf,Sites_primaryfrontagelf,
,primary_frontage_st,Sites_primaryfrontagest,
,product_segment,Improvement_productsegment,
,productivity_index,Sites_productivityindex,
,project_amenities,,
,project_id,,
,project_name,,
,project_property_id,,
,project_style,,
,property_assessment_id,,
,property_id,,PropertyID
,property_included,Sales_propertyincluded,
,property_rights,Sales_propertyrights,
,property_type,Parcel_propertytype,PropertyType
,property_type_id,Parcel_propertysubtype,
,property_zoning_id,,
,propertymajortype,Parcel_propertymajortype,
,propertysubtype,,
,proposed_sf,,
,proposed_units,,
,proposed_use,Sales_proposeduse,Proposed Land Use
,quality_id,Improvement_Subrecords_qualityid,
,ra_total,,
,rail_service,,Services
,ready_for_use,Parcel_readyforuse,
,rear_yard_distance,Zoning_rearyarddistance,
,recording_date,Sales_recordingdate,
,renovations_description,,
,rent_basis,,
,rent_comp_id,,
,rent_escalations,,
,rent_increase_percent,,
,rent_last_increased,,
,rent_per_mo,,
,rent_per_sf_per_mo,,
,rent_per_sf_per_mo_max,,
,rent_per_sf_per_mo_min,,
,rent_per_sq_meter,,
,rent_per_sq_meter_per_mo,,
,rent_roll_summary_commleasenotes,,
,rentable_area,,
,rentincreased,,
,rentperm2,,
,rentperm2permo,,
,responsible_party,Sales_responsibleparty,
,retail_gba,,
,retail_gla,,
,rev_par,,
,risk_profile,Sales_riskprofile,
,road_frontage,Sites_roadfrontage,
,roof_cover_id,Improvement_Subrecords_roofcoverid,
,roof_type_id,Improvement_Subrecords_rooftypeid,
,rooms,,
,sale_comments,,
,sale_comp_id,,
,sale_date,Sales_saledate,Last Sale Date
,sale_notes,Sales_salenotes,
,sale_price,,For Sale Price
,sale_supporting_files,Sales_salesupportingfiles,
,school_district_id,,
,schooldistrict,,
,secondary_frontage_lf,Sites_secondaryfrontagelf,
,secondary_frontage_st,Sites_secondaryfrontagest,
,secondary_traffic_count,,
,session_end,,
,session_start,,
,setback_distance,Zoning_setbackdistance,
,sf_leased,,
,sf_size_max,,
,sf_size_min,,
,shadow_anchors,,
,shalcommunityfee,,
,shalentryfee,,
,shaloccupancypercentage,,
,shalsecondpersonfeemonthly,,
,shalunitcount,,
,shape,Sites_shape,
,shcaretypecomments,,
,shilcommunityfee,,
,shilentryfee,,
,shilunitcount,,
,shmccommunityfee,,
,shmcentryfee,,
,shmcoccupancypercentage,,
,shmcsecondpersonfeemonthly,,
,shmcunitcount,,
,shothercommunityfee,,
,shotherentryfee,,
,shotheroccupancypercentage,,
,shothersecondpersonfeemonthly,,
,shotherunitcount,,
,shpayormedicaidpercentage,,
,shpayormedicarepercentage,,
,shpayorotherpercentage,,
,shpayorprivatepaypercentage,,
,shpayorvapercentage,,
,shsncommunityfee,,
,shsnentryfee,,
,shsnoccupancypercentage,,
,shsnsecondpersonfeemonthly,,
,shsnunitcount,,
,side_yard_distance,Zoning_sideyarddistance,
,site_acres,Sites_wasteacres,
,site_area_id,,
,site_comments,,
,site_dimensions,,
,site_drainage,,
,site_id,,
,site_landscaping,Improvement_Subrecords_landscaping,
,site_topography,Sites_topography,
,site_utilities,,
,site_views,,
,site_visibility,Sites_visibility,
,size_sq_meters,,
,sizem2,,
,soil_type,Sites_soiltype,
,source_system,,
,south_boundary,Parcel_southboundary,
,space_finish,,
,special_assessments,Assessment_specialassessments,
,sprinkler_type,Improvement_Subrecords_sprinklers,
,sprinklers_id,Improvement_Subrecords_sprinklersid,
,square_feet,,
,state,Parcel_state,State
,status,,
,storage_fee,,
,student_teacher_ratio,,
,sub_type,,
,submarket,Parcel_submarket,Submarket Name
,suite,,
,suite_number,,
,supporting_files,Parcel_supportingfiles,
,tax_id,Assessment_taxid,
,tax_rate,Assessment_taxrate,
,taxing_authority,Assessment_taxingauthority,
,tenant,,
,tenant_cam,incExp_cam,
,tenant_name,,
,tenant_parking,,
,tenant_profile,,
,terminal_cap_rate,Sales_terminalcaprate,
,tertiary_frontage_lf,Sites_tertiaryfrontagelf,
,tertiary_frontage_st,Sites_tertiaryfrontagest,
,tertiary_traffic_count,,
,tillable_acres,Sites_tillableacres,
,time_log_id,,
,timestamp,,
,topography,,
,tos_cap_rate,,
,tos_effective_age,Sales_toseffectiveage,
,tos_egim,,
,tos_noi,Sales_tosnoi,
,tos_number_of_tenants,,
,tos_occupancy_rate,Sales_tosoccupancyrate,
,tos_price_per_rsf,Sales_tospriceperrsf,
,tos_price_per_useable_acre_land,Sales_tospriceperuseableacreland,
,tos_price_per_useable_sf_land,Sales_tospriceperuseablesfland,
,tos_tenancy_type,,
,tos_vacancy_rate,Sales_tosvacancyrate,
,tos_weighted_avg_lease_term,,
,tosweightedaverageleaseterm,,
,total_assessment,Assessment_totalassessment,
,total_market_rent,,
,total_taxes,,Taxes Total
,townshiprange,Parcel_townshiprange,
,traffic_count,,
,traffic_survey_date,,
,transaction_type,,
,type_of_contamination,Sales_typeofcontamination,
,type_or_use_of_space,,
,unit_category,,
,unit_count,,
,unit_depth_ft,,
,unit_floor,,
,unit_height_ft,,
,unit_mix_id,,
,unit_sf,,
,unit_type,,
,unit_width_ft,,
,unitdepth,,
,unitheight,,
,unitwidth,,
,updated_at,,
,updated_by_user_id,,
,use_mix_id,,
,use_type,,
,user_id,,
,utilities,,
,utilities_paid_by_owner,,
,utility_allowance,,
,vacancy_rate,,
,vacant_units,,
,verification_date,,
,verification_phone,Sales_verificationphone,
,verification_source,,
,views,Sites_views,
,visibility,,
,waste_acres,,
,water_frontage,Sites_waterfrontage,
,west_boundary,Parcel_westboundary,
,wetland_acres,Sites_wetlandacres,
,wetlands_type,Sites_wetlandstype,
,within_flood_plain,Sites_withinfloodplainname,
,withinfloodplainname,,
,woodland_acres,Sites_woodlandacres,
,year_built_numeric,Improvement_yearbuiltnumeric,
,zip,Parcel_zip,Zip
,zoned_density,Zoning_zoneddensity,
,zoning,Zoning_Subrecords_id,Zoning
,zoning_authority,Zoning_Subrecords_authority,
,zoning_code,Zoning_zoningcode,
,zoning_designation,,
,zoning_district,Zoning_district,
,zoning_id,,
,zoning_jurisdiction,Zoning_Subrecords_NA_jurisdiction,
,zoning_notes,,
,zoning_subrecords_comments,Zoning_comments,
,zoning_subrecords_district,Zoning_Subrecords_district,
,zoning_subrecords_summary,,
,zoning_subrecords_type,,
,zoning_summary,Zoning_summary,
,zoning_type,Zoning_type,
,,Parcel_parcelverificationdata,
,,Parcel_parcelcomments,
,,Sales_pricepersf,
,,Sales_priceperlandsf,
,,Sales_pricepergbameters,
,,Sales_priceperrameters,
,,Sales_conditionsofsale,
,,Sales_landvaluepersf,
,,Sales_improvementvalue,
,,Sales_improvementvaluepersf,
,,Sites_landsf,
,,Sites_usableacres,
,,Sites_usablelandsf,
,,Sites_UnusableAcres,
,,Sites_UnusableLandSF,
,,Sites_excessacres,
,,Sites_excesslandsf,
,,Sites_SurplusAcres,
,,Sites_easementacres,
,,Sites_easementlandsf,
,,Sites_buildablesf,
,,Sites_proposedsf,
,,Improvement_noofofficeunits,
,,Improvement_gbaoffice,
,,Improvement_raoffice,
,,Improvement_percentofficera,
,,Improvement_noofotherunits,
,,Improvement_gbaother,
,,Improvement_raother,
,,Improvement_gbatotal,
,,Improvement_ratotal,
,,Improvement_parkingratiogba,
,,Improvement_parkingratiora,
,,Improvement_ffande,
,,Improvement_improvmentcomments,
,,Improvement_gbaofficemeters,
,,Improvement_raofficemeters,
,,Improvement_gbaothermeters,
,,Improvement_raothermeters,
,,Improvement_gbatotalmeters,
,,incExp_name,
,,incExp_surveydate,
,,incExp_financialstype,
,,incExp_annualrent,
,,incExp_baserentabatement,
,,incExp_netparkingincome,
,,incExp_percentagerent,
,,incExp_otherincome,
,,incExp_pgi,
,,incExp_pgipersf,
,,incExp_pgiperunit,
,,incExp_vacancycost,
,,incExp_vacancy,
,,incExp_vacancycostpersf,
,,incExp_vacancycostperunit,
,,incExp_occupancy,
,,incExp_egi,
,,incExp_egipersf,
,,incExp_egiperunit,
,,incExp_taxexpense,
,,incExp_insurance,
,,incExp_onsitemanagementexp,
,,incExp_management,
,,incExp_advertisingandmarketing,
,,incExp_electricexpense,
,,incExp_waterexpense,
,,incExp_sewerexpense,
,,incExp_gasexpense,
