LightBox Source Fields,CoStar Source Fields,Consolidated ERD Fields,LightBox Aligned Fields
incExp_onsitemanagementexp,,leasestart,
incExp_management,,leaseterm,
incExp_advertisingandmarketing,,legal_description,Sales_legaldescription
incExp_electricexpense,,lender,Sales_lender
incExp_waterexpense,,lender_name,
incExp_sewerexpense,,lessor,
incExp_gasexpense,,lessor_name,
incExp_fuelexpense,,lh_occupancy,Improvement_lhoccupancy
incExp_trashexpense,,lhtc,
incExp_totalutilities,,lightbox_created_by,
incExp_buildingrepairs,,lightbox_id,
incExp_otherrepairs,,lightbox_timestamp,
incExp_repairsandmaintenance,,lng,Parcel_lng
incExp_paintinganddecorating,,lng_centroid,
incExp_generalandadministrative2,,locationdescription,Parcel_locationdescription
incExp_cleaning,,major_type,
incExp_cam,,management_company,
incExp_managerleasingsalaries,,market,Parcel_market
incExp_maintenancesalaries,,market_rent_max,
incExp_othersalaries,,market_rent_min,
incExp_payrolltaxes,,market_rent_per_mo,
incExp_payrolltotal,,market_rent_per_sf,
incExp_groundsandsecurity,,marketrentmo,
incExp_professionalservicesexp,,marketrentsf,
incExp_generalandadministrative,,max_build_height,Zoning_maxbuildheight
incExp_nonrevenueunits,,max_gross_lihtc_restricted_rent,
incExp_otherexpenses,,max_site_coverage,Zoning_maxsitecoverage
incExp_reserves,,median_hh_income,
incExp_deductreserves,,median_home_value,
incExp_expleasingcommissions,,median_household_income,
incExp_exptenantimprovements,,merge_timestamp,Parcel_timestamp
incExp_GroundRentExp,,merged_by_user_or_system,
incExp_totalexpenses,,mf_br_max,
incExp_ExpensePerSF,,mf_br_min,
incExp_ExpensePerUnit,,mf_carport_fee_monthly,
incExp_expenseratio,,mf_garage_fee_monthly,
incExp_noi,,mf_lease_comments,
incExp_noipersf,,mf_lease_notes,
incExp_noiperbed,,mf_lease_survey_date,
incExp_noipergbam2,,mf_occupancy,
incExp_noiperrasf,,mf_rent_concessions,
incExp_noiperunit,,mf_rent_per_mo_max,
incExp_noiperusablesf,,mf_rent_per_mo_min,
Saleinfo_NIM,,mf_rent_per_sf_max,
incExp_comments,,mf_rent_per_sf_min,
Assessment_taxingauthority,,mf_rent_per_sf_per_mo_max,
Assessment_taxid,,mf_rent_per_sf_per_mo_min,
Assessment_assessmentyear,,mf_rent_type,
