LightBox Source Fields,CoStar Source Fields,Consolidated ERD Fields
Improvement_loadfactor,,improvement_subrecords_garage
Improvement_percentofficera,,improvement_subrecords_heating
Improvement_noofotherunits,,improvement_subrecords_landscaping
Improvement_gbaother,,improvement_subrecords_landtobuildingratio
Improvement_raother,,improvement_subrecords_loadfactor
Improvement_noofunits,,improvement_subrecords_multifamilyamenities
Improvement_gbatotal,,improvement_subrecords_noofbathrooms
Improvement_ratotal,,improvement_subrecords_noofbays
Improvement_landtobuildingratio,,improvement_subrecords_noofbedrooms
Parcel_far,,improvement_subrecords_noofbeds
Improvement_surfaceparkingspaces,,improvement_subrecords_noofelevators
Improvement_coveredparkingspaces,,improvement_subrecords_noofescalators
Improvement_garageparkingspaces,,improvement_subrecords_noofgolfholes
Improvement_parking,,improvement_subrecords_noofhalfbaths
Improvement_parkingratiounit,,improvement_subrecords_noofrooms
Improvement_parkingratiogba,,improvement_subrecords_noofseats
Improvement_parkingratiora,,improvement_subrecords_noofspaces
Improvement_noofstories,,improvement_subrecords_noofstories
Improvement_noofseats,,improvement_subrecords_nooftruckdoors
Improvement_noofgolfholes,,improvement_subrecords_nooftruckdoorswithlevelers
Improvement_adr,,improvement_subrecords_noofunits
Improvement_lhoccupancy,,improvement_subrecords_parking
Improvement_productsegment,,improvement_subrecords_parkingadequacy
Improvement_hotelflag,,improvement_subrecords_parkingcomments
Improvement_designappeal,,improvement_subrecords_parkingcondition
Improvement_condition,,improvement_subrecords_parkingtype
Improvement_construction,,improvement_subrecords_porchordeck
Improvement_quality,,improvement_subrecords_proportionrenovated
Improvement_landscaping,,improvement_subrecords_quality
Improvement_parkingtype,,improvement_subrecords_ratotalmeters
Improvement_parkingadequacy,,improvement_subrecords_remainingeconomiclife
Improvement_parkingcondition,,improvement_subrecords_renovations
Improvement_parkingcomments,,improvement_subrecords_residentialamenities
Improvement_deferredmaintance,,improvement_subrecords_residentialdesign
Improvement_ffande,,improvement_subrecords_roofcover
Improvement_yearbuilt,,improvement_subrecords_rooftype
Improvement_yearbuiltnumeric,,improvement_subrecords_sourceforsfarea
Improvement_renovations,,improvement_subrecords_sprinklers
Improvement_proportionrenovated,,improvement_subrecords_surfaceparkingspaces
Improvement_totaleconomiclife,,improvement_subrecords_tenantimprovements
Improvement_effectiveage,,improvement_subrecords_totaleconomiclife
Improvement_remainingeconomiclife,,improvement_subrecords_typicalbaydepth
Improvement_foundation,,improvement_subrecords_usablearea
Improvement_exteriorwall,,improvement_subrecords_yearbuilt
Improvement_basementuseandfinish,,improvement_value
Improvement_basementsize,,improvement_value_per_sf
Improvement_columnspacing,,income_growth
Improvement_ceilingheight,,income_growth_rate
Improvement_roofcover,,income_target_percent
Improvement_rooftype,,incometarget
Improvement_cooling,,industrial_gba
Improvement_heating,,industrial_ra
Improvement_noofelevators,,ingestion_timestamp
Improvement_noofescalators,,instance_type
Improvement_sprinklers,,internal_comments
Improvement_fireplaceorwoodstove,,is_active
Improvement_garage,,is_confidential
Improvement_ancillarybuildings,,is_deleted
Improvement_features,,is_excel_entry
Improvement_amenities,,is_ground_lease
Improvement_improvmentcomments,,is_lihtc
Improvement_gbaofficemeters,,isexcel
Improvement_raofficemeters,,jurisdiction
Improvement_gbaothermeters,,land_assessment
Improvement_parkingratiora,,land_hectares
Improvement_raothermeters,,land_sf
Improvement_gbatotalmeters,,land_square_meters
Improvement_ratotalmeters,,land_unit_approved_or_zoned
incExp_name,,land_unit_type
incExp_surveydate,,land_units
incExp_financialstype,,land_use
incExp_annualrent,,land_value
incExp_baserentabatement,,land_value_per_sf
incExp_expensereimbursements,,last_rent_increase
incExp_netparkingincome,,lat
incExp_percentagerent,,lat_centroid
incExp_otherincome,,lease_commencement_date
incExp_pgi,,lease_comp_id
incExp_pgipersf,,lease_concessions
incExp_pgiperunit,,lease_conditions
incExp_vacancycost,,lease_expiration_date
incExp_vacancy,,lease_options
incExp_vacancycostpersf,,lease_start_date
incExp_vacancycostperunit,,lease_tenant_improvs
incExp_occupancy,,lease_term_months
incExp_egi,,lease_transaction_type
incExp_egipersf,,lease_type
incExp_egiperunit,,leasedate
incExp_taxexpense,,leaseexpiration
incExp_insurance,,leaseexpiredate
incExp_onsitemanagementexp,,leasestart
incExp_management,,leaseterm
incExp_advertisingandmarketing,,legal_description
incExp_electricexpense,,lender
incExp_waterexpense,,lender_name
