Initial ERD Field Names,Updated ERD Field Names,LightBox Source Fields,CoStar Source Fields,Consolidated ERD Fields,LightBox Aligned Fields
eastboundary,environmental_issues,Improvement_noofunits,Sale Company Contact,demographics_survey_date,Sites_demographicssurveydate
effectiveage,environmental_remarks,Improvement_parking,Sale Company Fax,depth,Sites_depth
effectiverentsf,environmental_status,Improvement_parkingadequacy,Sale Company Name,design_appeal,Improvement_designappeal
effectiverentsfmo,equalization_ratio,Improvement_parkingcomments,Sale Company Phone,dimensions,Sites_dimensions
effectivewaterfrontage,excess_land_adjustment,Improvement_parkingcondition,Sales Company,diminution_source,Sales_diminutionsource
effrentpermo,expenditures_after_sale_adjustment,Improvement_parkingratiogba,Sales Contact,discount_rate,Sales_discountrate
effrentperyear,expense_growth_rate,Improvement_parkingratiora,Sales Contact Phone,district_name,
concessions,construction_class,Assessment_totalassessment,Scale,comm_lease_survey_date,Rent Roll Summary_commleasesurveydate
egim,expense_reimbursements,Improvement_parkingratiora,Secondary Type,district_url,
encumbranceoreasement,expense_stop,Improvement_parkingratiounit,Services,districtspending,
enrollment,exterior_wall,Improvement_parkingtype,Sewer,drainage,Sites_drainage
entryfeemax,exterior_wall_id,Improvement_percentoffice,Smallest Available Space,duration_seconds,
entryfeemin,fema_map_date,Improvement_percentretail,Sprinklers,earthquake_hazard_risk,Sites_earthquakehazardrisk
environmentalconcerns,ff_and_e,Improvement_perimeter,Star Rating,earthquake_zone_comments,Sites_earthquakezonecomments
environmentalissues,ff_and_e_adjustment,Improvement_productsegment,State,east_boundary,Parcel_eastboundary
environmentalremarks,field_changed,Improvement_proportionrenovated,Style,eff_rent_per_mo,Rent Roll_effrentpermo
environmentalstatus,field_name,Improvement_quality,Subcontinent,eff_rent_per_year,Rent Roll_effrentperyear
escalations,field_value,Improvement_raother,Sublet Available Space,effective_age,Improvement_effectiveage
excesslandadjustment,financing_terms_adjustment,Improvement_raothermeters,Sublet Services,effective_gross_income_multiplier,
expendituresaftersaleadjustment,financing_type,Improvement_raretailgla,Sublet Vacant Space,effective_rent_sf,
expensegrowthrate,finish_condition,Improvement_raretailmeters,Submarket Cluster,effective_rent_sf_mo,Rent Roll_effectiverentsfmo
expensereimbursements,fireplace_or_woodstove,Improvement_ratotal,Submarket Name,effective_water_frontage,Sites_effectivewaterfrontage
expensestop,flood_map_panel,Improvement_ratotalmeters,Tax Year,egim,Sales_egim
exteriorwall,flood_zone,Improvement_remainingeconomiclife,Taxes Per SF,encumbrance_or_easement,Sites_encumbranceoreasement
exteriorwallid,floor_area_ratio,Improvement_renovations,Taxes Total,enrollment,
far,floor_level,Improvement_roofcover,Tenancy,entry_fee_max,
features,foundation_id,Improvement_rooftype,Total Available Space (SF),entry_fee_min,
femamapdate,foundation_type,Improvement_sourceforsfarea,Total Buildings,environmental_concerns,Sales_environmentalconcerns
ffande,free_rent_months,Improvement_sprinklers,Total New Space (SF),environmental_issues,Sites_environmentalissues
ffandeadjustment,front_set_back_distance,Improvement_Subrecords_basementsize,Total Relet Space (SF),environmental_remarks,Sales_environmentalremarks
field_changed,garage_parking_spaces,Improvement_Subrecords_basementuseandfinish,Total Sublet Space (SF),environmental_status,Sales_environmentalstatus
field_name,garage_type,Improvement_Subrecords_ceilingheight,Total Vacant Avail Relet Space (SF),equalization_ratio,Assessment_equalizationratio
field_value,gba_total,Improvement_Subrecords_clearheight,Total Vacant Avail Sublet Space (SF),escalations,Rent Roll Summary_escalations
financing,gba_total_meters,Improvement_Subrecords_columnspacing,Total Vacant Available,excess_land_adjustment,Sales_excesslandadjustment
financingtermsadjustment,geo_code,Improvement_Subrecords_condition,True Owner Address,expenditures_after_sale_adjustment,Sales_expendituresaftersaleadjustment
finish,geo_name,Improvement_Subrecords_conditionid,True Owner City State Zip,expense_growth_rate,Sales_expensegrowthrate
finishcondition,geo_type,Improvement_Subrecords_construction,True Owner Contact,expense_reimbursements,Rent Roll_expensereimbursements
fireplaceorwoodstove,geography_id,Improvement_Subrecords_constructionclass,True Owner Name,expense_stop,Rent Roll_expensestop
floodmappanel,grantee_buyer,Improvement_Subrecords_cooling,True Owner Phone,exterior_wall,Improvement_exteriorwall
floodzone,grantor_seller,Improvement_Subrecords_coolingid,Typical Floor Size,exterior_wall_id,Improvement_Subrecords_exteriorwallid
floor,gross_building_area,Improvement_Subrecords_deferredmaintance,University,far,Parcel_far
floorlevel,heating_id,Improvement_Subrecords_designappeal,Vacancy %,features,Improvement_features
foundation,heating_type,Improvement_Subrecords_docks,Water,fema_map_date,Sites_femamapdate
foundationid,highest_and_best_use,Improvement_Subrecords_effectiveage,Year Built,ff_and_e,
freerentmonths,holding_period_years,Improvement_Subrecords_exteriorwall,Year Renovated,ff_and_e_adjustment,Sales_ffandeadjustment
frontsetbackdistance,home_site_acres,Improvement_Subrecords_exteriorwallid,Zip,field_changed,
garage,hotel_flag,Improvement_Subrecords_ffande,Zoning,field_name,
created_by_user_id,data_source,Improvement_features,,construction_class,Improvement_constructionclass
dimensions,eff_rent_per_year,Improvement_landscaping,,current_list_price,Sales_currentlistprice
garageparkingspaces,hotel_room_rev_multiplier,Improvement_Subrecords_fireplaceorwoodstove,,field_value,
gba,id,Improvement_Subrecords_foundation,,financing,Sales_financing
gbatotal,implied_value,Improvement_Subrecords_foundationid,,financing_terms_adjustment,Sales_financingtermsadjustment
gbatotalmeters,improvement_assessment,Improvement_Subrecords_garage,,financing_type,
grantee,improvement_comments,Improvement_Subrecords_gbaothermeters,,finish,Rent Roll_finish
grantor,improvement_id,Improvement_Subrecords_gbaretailmeters,,finish_condition,Sales_finishcondition
gross_building_area,improvement_value,Improvement_Subrecords_gbatotalmeters,,fireplace_or_woodstove,Improvement_fireplaceorwoodstove
heating,improvement_value_per_sf,Improvement_Subrecords_heating,,flood_map_panel,Sites_floodmappanel
heatingid,income_growth,Improvement_Subrecords_heatingid,,flood_zone,Sites_floodzone
highestandbestuse,income_growth_rate,Improvement_Subrecords_id,,floor,
holdingperiodyears,income_target_percent,Improvement_Subrecords_landscaping,,floor_area_ratio,
homesiteacres,industrial_gba,Improvement_Subrecords_NA_parcelId,,floor_level,Rent Roll_floorlevel
hotelflag,industrial_ra,Improvement_Subrecords_noofelevators,,foundation_id,Improvement_Subrecords_foundationid
hotelroomrevmultiplier,ingestion_timestamp,Improvement_Subrecords_noofescalators,,foundation_type,Improvement_foundation
id,instance_type,Improvement_Subrecords_noofgolfholes,,free_rent_months,Rent Roll_freerentmonths
improvement_id,internal_comments,Improvement_Subrecords_noofhalfbaths,,front_set_back_distance,Zoning_Subrecords_frontsetbackdistance
improvement_subrecords_ancillarybuildings,is_active,Improvement_Subrecords_noofretailunits,,garage_parking_spaces,Improvement_garageparkingspaces
improvement_subrecords_basementsize,is_confidential,Improvement_Subrecords_noofseats,,garage_type,
improvement_subrecords_basementuseandfinish,is_deleted,Improvement_Subrecords_noofstories,,gba,
improvement_subrecords_buildingclass,is_excel_entry,Improvement_Subrecords_nooftruckdoors,,gba_total,
improvement_subrecords_buildingdescription,is_ground_lease,Improvement_Subrecords_nooftruckdoorswithlevelers,,gba_total_meters,
improvement_subrecords_ceilingheight,is_lihtc,Improvement_Subrecords_othergba,,geo_code,
improvement_subrecords_clearheight,land_assessment,Improvement_Subrecords_otherra,,geo_name,
improvement_subrecords_columnspacing,land_hectares,Improvement_Subrecords_percentretail,,geo_type,
improvement_subrecords_condition,land_sf,Improvement_Subrecords_perimetersf,,geography_id,
improvement_subrecords_construction,land_square_meters,Improvement_Subrecords_porchordeck,,grantee,Sales_grantee
improvement_subrecords_constructionclass,land_to_building_ratio,Improvement_Subrecords_quality,,grantee_buyer,
improvement_subrecords_cooling,land_unit_approved_or_zoned,Improvement_Subrecords_qualityid,,grantor,Sales_grantor
improvement_subrecords_coveredparkingspaces,land_unit_type,Improvement_Subrecords_raothermeters,,grantor_seller,
improvement_subrecords_deferredmaintance,land_units,Improvement_Subrecords_ratotalmeters,,gross_building_area,
improvement_subrecords_designappeal,land_use,Improvement_Subrecords_remainingeconomiclife,,heating_id,Improvement_Subrecords_heatingid
improvement_subrecords_docks,land_value,Improvement_Subrecords_renovations,,heating_type,Improvement_heating
improvement_subrecords_effectiveage,land_value_per_sf,Improvement_Subrecords_rentablearea,,highest_and_best_use,Sales_highestandbestuse
improvement_subrecords_exteriorwall,last_rent_increase,Improvement_Subrecords_residentialamenities,,holding_period_years,Sales_holdingperiodyears
improvement_subrecords_ffande,lat,Improvement_Subrecords_residentialdesign,,home_site_acres,Sites_homesiteacres
improvement_subrecords_fireplaceorwoodstove,lat_centroid,Improvement_Subrecords_retailgba,,hotel_flag,Improvement_hotelflag
improvement_subrecords_foundation,lease_commencement_date,Improvement_Subrecords_retailgla,,hotel_room_rev_multiplier,Sales_hotelroomrevmultiplier
improvement_subrecords_garage,lease_comp_id,Improvement_Subrecords_roofcover,,id,Improvement_Subrecords_id
