Entities Name,Updated ERD Field Names,CoStar Source Fields,GreenST market data,Trepp Fields
,property_id,,Absorption Units,mr_occ_rate
,id,,Absorption Units 12 Mo,calc_occ_rate
,instance_type,,Demand Units,Vacancy
,comm_lease_survey_date,,Inventory Units,Physical Vacancy
,is_confidential,,Market Asking Rent Growth,Concessions
,comm_rent_per_sf_min,,Market Asking Rent Growth 12 Mo,Collection Loss
,comm_rent_per_sf_max,,Market Asking Rent Index,Bad Debt
,rent_per_sf_per_mo_min,,Market Asking Rent/SF,
,rent_per_sf_per_mo_max,,Market Asking Rent/Unit,
,comm_size_min,,Market Asking Rent/Unit 1 Bedroom,
,comm_size_max,,Market Asking Rent/Unit 2 Bedroom,
,comm_verification_source,,Market Asking Rent/Unit 3 Bedroom,
,comm_vacancy_rate,,Market Asking Rent/Unit Studio,
,no_of_tenants,,Market Effective Rent Growth,
,sf_leased,,Market Effective Rent Growth 12 Mo,
,anchor_tenants,,Market Effective Rent/SF,
,shadow_anchors,,Market Effective Rent/Unit,
,comm_lease_comments,,Market Effective Rent/Unit 1 Bedroom,
,tenant_name,,Market Effective Rent/Unit 2 Bedroom,
,comm_lease_type,,Market Effective Rent/Unit 3 Bedroom,
,comm_lease_notes,,Market Effective Rent/Unit Studio,
,comm_lease_terms,,Occupancy Rate,
,comm_rent_concessions,,Stabilized Vacancy,
,rent_roll_summary_commleasenotes,,Vacancy Rate,
,rent_escalations,,,
lease_comp,lease_comp_id,,,Rental Income
,commercial_survey_id,,,Commercial Rental Income
,id,,,Expense Reimbursements
,tenant_name,,,Commercial Expense Reimbursements
,lessor_name,,,Loss to Lease
,lease_type,,,Concessions
,type_or_use_of_space,,,
,lease_transaction_type,,,
,suite_number,,,
,floor_level,,,
,unit_sf,,,
,effective_rent_sf,,,
,effective_rent_sf_mo,,,
,eff_rent_per_year,,,
,eff_rent_per_mo,,,
,leasestartdate,,,
,leaseexpiredate,,,
,base_rent_sf,,,
,base_rent_sf_mo,,,
,base_rent_per_year,,,
,base_rent_per_mo,,,
,lease_term_months,,,
,lease_concessions,,,
,expense_stop,,,
,lease_commencement_date,,,
,expense_reimbursements,,,
,lease_tenant_improvs,,,
,lease_options,,,
,percent_rent,,,
,tenant_cam,,,
,rent_escalations,,,
,verification_date,,,
,verification_source,,,
,comm_lease_survey_date,,,
,data_source,,,
,notes,,,
,size_sq_meters,,,
,rent_per_sq_meter,,,
,rent_per_sq_meter_per_mo,,,
,rent_per_sf_per_mo,,,
,percent_office_ul,,,
,anchor_type,,,
,costs_to_finish,,,
,current_rent_per_mo,,,
,space_finish,,,
,free_rent_months,,,
,lease_conditions,,,
,rent_basis,,,
,rent_last_increased,,,
,tenant_parking,,,
,custom_fields,,,
,created_at,,,
,updated_at,,,
,created_by_user_id,,,
,updated_by_user_id,,,
rent_comp,rent_comp_id,Avg Unit SF,,
,property_id,Avg Asking/SF,,
,id,Avg Asking/Unit,,
,mf_lease_survey_date,Avg Concessions %,,
,mf_source_notes,Avg Effective/SF,,
,instance_type,Avg Effective/Unit,,
,management_company,Vacancy %,,
,mf_surveyed_unit_count_total,Percent Leased,,
,mf_vacant_units_count,Rent Type,,
,vacancy_rate,,,
,mf_occupancy,,,
,utilities_paid_by_owner,,,
,mf_rent_type,,,
,mf_rent_concessions,,,
,mf_carport_fee_monthly,,,
,project_style,,,
,mf_garage_fee_monthly,,,
,storage_fee,,,
,mf_rent_per_mo_min,,,
,mf_rent_per_mo_max,,,
,mf_rent_per_sf_min,,,
,mf_rent_per_sf_max,,,
,mf_rent_per_sf_per_mo_min,,,
,mf_rent_per_sf_per_mo_max,,,
,mf_size_sf_min,,,
,mf_size_sf_max,,,
,mf_br_min,,,
,mf_br_max,,,
,mf_total_rent_per_month,,,
,mf_total_annual_rent,,,
,avg_mf_unit_size,,,
,mf_weighted_avg_rent_per_unit,,,
,mf_weighted_avg_rent_per_sf_per_mo,,,
,mf_weighted_avg_rent_per_sf_per_year,,,
,total_market_rent,,,
,project_amenities,,,
,mf_unit_amenities,,,
,mf_lease_comments,,,
,care_type_comments,,,
,mf_lease_notes,,,
,custom_fields,,,
,created_at,,,
,updated_at,,,
,created_by_user_id,,,
,updated_by_user_id,,,
unit_mix,unit_mix_id,Affordable Type,,
,rent_comp_id,% 1-Bed,,
,unit_category,% 2-Bed,,
,unit_type,% 3-Bed,,
,unit_count,% 4-Bed,,
,vacant_units,% Studios,,
,unit_sf,Four Bedroom Asking Rent/SF,,
,unit_floor,Four Bedroom Asking Rent/Unit,,
,no_of_rooms,Four Bedroom Avg SF,,
,no_of_bedrooms,Four Bedroom Concessions %,,
,no_of_baths,Four Bedroom Effective Rent/SF,,
,no_of_beds,Four Bedroom Effective Rent/Unit,,
,rent_per_mo,Four Bedroom Vacancy %,,
,annual_rent_per_sf,Four Bedroom Vacant Units,,
,rent_per_sf_per_mo,Number of 1 Bedroom Units,,
,market_rent_per_mo,Number of 2 Bedroom Units,,
,market_rent_per_sf,Number of 3 Bedroom Units,,
,daily_rate_per_unit,Number of 4 Bedroom Units,,
,size_sq_meters,Number of Studio Units,,
,rent_per_sq_meter,One Bedroom Asking Rent/SF,,
,last_rent_increase,One Bedroom Asking Rent/Unit,,
,rent_increase_percent,One Bedroom Avg SF,,
,lease_start_date,One Bedroom Concessions %,,
,lease_expiration_date,One Bedroom Effective Rent/SF,,
,community_fee_min,One Bedroom Effective Rent/Unit,,
,community_fee_max,One Bedroom Vacancy %,,
,sf_size_min,One Bedroom Vacant Units,,
,sf_size_max,Studio Asking Rent/SF,,
,daily_rate_per_unit_min,Studio Asking Rent/Unit,,
,daily_rate_per_unit_max,Studio Avg SF,,
,entry_fee_min,Studio Concessions %,,
,entry_fee_max,Studio Effective Rent/SF,,
,contract_rent_min,Studio Effective Rent/Unit,,
,contract_rent_max,Studio Vacancy %,,
,market_rent_min,Studio Vacant Units,,
,market_rent_max,Three Bedroom Asking Rent/SF,,
,unit_height_ft,Three Bedroom Asking Rent/Unit,,
,unit_width_ft,Three Bedroom Avg SF,,
,unit_depth_ft,Three Bedroom Concessions %,,
,income_target_percent,Three Bedroom Effective Rent/SF,,
,max_gross_lihtc_restricted_rent,Three Bedroom Effective Rent/Unit,,
,is_lihtc,Three Bedroom Vacancy %,,
,utility_allowance,Three Bedroom Vacant Units,,
,occupancy_type,Two Bedroom Asking Rent/SF,,
,affordability_status,Two Bedroom Asking Rent/Unit,,
,tenant_profile,Two Bedroom Avg SF,,
,monthly_or_daily_rent,Two Bedroom Concessions %,,
,custom_fields,Two Bedroom Effective Rent/SF,,
,created_at,Two Bedroom Effective Rent/Unit,,
,updated_at,Two Bedroom Vacancy %,,
,created_by_user_id,Two Bedroom Vacant Units,,
,updated_by_user_id,,,
property_source_attribution,attribution_id,,,
,property_id,,,
,field_name,,,
,field_value,,,
,source_system,,,
,ingestion_timestamp,,,
property_merge_audit_log,audit_log_id,,,
,property_id,,,
,field_changed,,,
,old_value,,,
,new_value,,,
,merged_by_user_or_system,,,
,merge_timestamp,,,
lease_comp_merge_audit_log,audit_log_id,,,
,lease_comp_id,,,
,field_changed,,,
,old_value,,,
,new_value,,,
,merged_by_user_or_system,,,
,merge_timestamp,,,
lease_comp_source_attribution,attribution_id,,,
,lease_comp_id,,,
,field_name,,,
,field_value,,,
,source_system,,,
,ingestion_timestamp,,,
,created_at,,,
,updated_at,,,
,created_by_user_id,,,
,updated_by_user_id,,,
rent_comp_merge_audit_log,audit_log_id,,,
,rent_comp_id,,,
,field_changed,,,
,old_value,,,
,new_value,,,
,merged_by_user_or_system,,,
,merge_timestamp,,,
rent_comp_source_attribution,attribution_id,,,
,rent_comp_id,,,
,field_name,,,
,field_value,,,
,source_system,,,
,ingestion_timestamp,,,
,created_at,,,
,updated_at,,,
,created_by_user_id,,,
,updated_by_user_id,,,
company_contacts,,Sale Company Name,,
,,Sale Company Address,,
,,Sale Company City State Zip,,
,,Sale Company Phone,,
,,Sale Company Fax,,
,,Sale Company Contact,,
,,Architect Name,,
,,Developer Name,,
,,Fund Name,,
,,Originator,,
,,Owner Contact,,
,,Owner Name,,
,,Property Manager Address,,
,,Property Manager City State Zip,,
,,Property Manager Contact,,
,,Property Manager Name,,
,,Property Manager Phone,,
,,Sales Company,,
,,Sales Contact,,
,,Sales Contact Phone,,
property_operations,,,NOI Index,Income
,,,Income Return,Rental Income
,,,Appreciation Return,Loss to Lease
,,,Total Return,Commercial Rental Income
,,,,Commercial Expense Reimbursements
,,,,Effective Potential Gross Income
,,,,Vacancy
,,,,Bad Debt
,,,,Collection Loss
,,,,Concessions
,,,,Effective Rental Revenue
