LightBox Source Fields,CoStar Source Fields,Consolidated ERD Fields
Improvement_Subrecords_noofunits,,improvement_subrecords_construction
Improvement_Subrecords_othergba,,improvement_subrecords_cooling
Improvement_Subrecords_otherra,,improvement_subrecords_deferredmaintance
Improvement_Subrecords_perimetersf,,improvement_subrecords_docks
Improvement_Subrecords_porchordeck,,improvement_subrecords_foundation
Improvement_Subrecords_quality,,improvement_subrecords_garage
Improvement_Subrecords_qualityid,,improvement_subrecords_heating
Improvement_Subrecords_ramultifamilymeters,,improvement_subrecords_landscaping
Improvement_Subrecords_raothermeters,,improvement_subrecords_landtobuildingratio
Improvement_Subrecords_ratotalmeters,,improvement_subrecords_loadfactor
Improvement_Subrecords_remainingeconomiclife,,improvement_subrecords_multifamilyamenities
Improvement_Subrecords_renovations,,improvement_subrecords_noofbathrooms
Improvement_Subrecords_rentablearea,,improvement_subrecords_noofbays
Improvement_Subrecords_residentialamenities,,improvement_subrecords_noofbedrooms
Improvement_Subrecords_residentialdesign,,improvement_subrecords_noofbeds
Improvement_Subrecords_roofcover,,improvement_subrecords_noofelevators
Improvement_Subrecords_roofcoverid,,improvement_subrecords_noofescalators
Improvement_Subrecords_rooftype,,improvement_subrecords_noofgolfholes
Improvement_Subrecords_rooftypeid,,improvement_subrecords_noofhalfbaths
Improvement_Subrecords_sourceforsfarea,,improvement_subrecords_noofrooms
Improvement_Subrecords_sprinklers,,improvement_subrecords_noofseats
Improvement_Subrecords_sprinklersid,,improvement_subrecords_noofspaces
Improvement_Subrecords_tenantimprovements,,improvement_subrecords_noofstories
Improvement_Subrecords_totaleconomiclife,,improvement_subrecords_nooftruckdoors
Improvement_Subrecords_yearbuilt,,improvement_subrecords_nooftruckdoorswithlevelers
Improvement_surfaceparkingspaces,,improvement_subrecords_noofunits
Improvement_totaleconomiclife,,improvement_subrecords_parking
Improvement_yearbuilt,,improvement_subrecords_parkingadequacy
Improvement_yearbuiltnumeric,,improvement_subrecords_parkingcomments
incExp_advertisingandmarketing,,improvement_subrecords_parkingcondition
incExp_annualrent,,improvement_subrecords_parkingtype
incExp_baserentabatement,,improvement_subrecords_porchordeck
incExp_buildingrepairs,,improvement_subrecords_proportionrenovated
incExp_cam,,improvement_subrecords_quality
incExp_cleaning,,improvement_subrecords_ratotalmeters
incExp_comments,,improvement_subrecords_remainingeconomiclife
incExp_deductreserves,,improvement_subrecords_renovations
incExp_egi,,improvement_subrecords_residentialamenities
incExp_egipersf,,improvement_subrecords_residentialdesign
incExp_egiperunit,,improvement_subrecords_roofcover
incExp_electricexpense,,improvement_subrecords_rooftype
incExp_ExpensePerSF,,improvement_subrecords_sourceforsfarea
incExp_ExpensePerUnit,,improvement_subrecords_sprinklers
incExp_expenseratio,,improvement_subrecords_surfaceparkingspaces
incExp_expensereimbursements,,improvement_subrecords_tenantimprovements
incExp_expleasingcommissions,,improvement_subrecords_totaleconomiclife
incExp_exptenantimprovements,,improvement_subrecords_typicalbaydepth
incExp_financialstype,,improvement_subrecords_usablearea
incExp_fuelexpense,,improvement_subrecords_yearbuilt
incExp_gasexpense,,improvement_value
incExp_generalandadministrative,,improvement_value_per_sf
incExp_generalandadministrative2,,income_growth
incExp_GroundRentExp,,income_growth_rate
incExp_groundsandsecurity,,income_target_percent
incExp_insurance,,incometarget
incExp_maintenancesalaries,,industrial_gba
incExp_management,,industrial_ra
incExp_managerleasingsalaries,,ingestion_timestamp
incExp_name,,instance_type
incExp_netparkingincome,,internal_comments
incExp_noi,,is_active
incExp_noiperbed,,is_confidential
incExp_noipergbam2,,is_deleted
incExp_noiperrasf,,is_excel_entry
incExp_noipersf,,is_ground_lease
incExp_noiperunit,,is_lihtc
incExp_noiperusablesf,,isexcel
incExp_nonrevenueunits,,jurisdiction
incExp_occupancy,,land_assessment
incExp_onsitemanagementexp,,land_hectares
incExp_otherexpenses,,land_sf
incExp_otherincome,,land_square_meters
incExp_otherrepairs,,land_unit_approved_or_zoned
incExp_othersalaries,,land_unit_type
incExp_paintinganddecorating,,land_units
incExp_payrolltaxes,,land_use
incExp_payrolltotal,,land_value
incExp_percentagerent,,land_value_per_sf
incExp_pgi,,last_rent_increase
incExp_pgipersf,,lat
incExp_pgiperunit,,lat_centroid
incExp_professionalservicesexp,,lease_commencement_date
incExp_repairsandmaintenance,,lease_comp_id
incExp_reserves,,lease_concessions
incExp_sewerexpense,,lease_conditions
incExp_surveydate,,lease_expiration_date
incExp_taxexpense,,lease_options
incExp_totalexpenses,,lease_start_date
incExp_totalutilities,,lease_tenant_improvs
incExp_trashexpense,,lease_term_months
incExp_vacancy,,lease_transaction_type
incExp_vacancycost,,lease_type
incExp_vacancycostpersf,,leasedate
incExp_vacancycostperunit,,leaseexpiration
incExp_waterexpense,,leaseexpiredate
Parcel_address,,leasestart
Parcel_appraisalfile,,leaseterm
Parcel_appraisalusage,,legal_description
Parcel_cbsa_id,,lender
Parcel_cbsa_name,,lender_name
Parcel_censusblock,,lessor
Parcel_censustract,,lessor_name
Parcel_city,,lh_occupancy
Parcel_country,,lhtc
Parcel_county,,lightbox_created_by
Parcel_createdby,,lightbox_id
Parcel_districtspending,,lightbox_timestamp
Parcel_districturl,,lng
Parcel_eastboundary,,lng_centroid
Parcel_enrollment,,locationdescription
Parcel_far,,major_type
Parcel_id,,management_company
Parcel_isgroundlease,,market
Parcel_lat,,market_rent_max
Parcel_lng,,market_rent_min
Parcel_locationdescription,,market_rent_per_mo
Parcel_market,,market_rent_per_sf
Parcel_msa,,marketrentmo
Parcel_municipality,,marketrentsf
Parcel_name,,max_build_height
Parcel_name,,max_gross_lihtc_restricted_rent
Parcel_neighborhood,,max_site_coverage
Parcel_neighborhoodcomments,,median_hh_income
Parcel_northboundary,,median_home_value
Parcel_opportunityzone,,median_household_income
Parcel_otherdbrefs,,merge_timestamp
Parcel_owner,,merged_by_user_or_system
Parcel_parcelcomments,,mf_br_max
Parcel_parcelverificationdata,,mf_br_min
Parcel_propertymajortype,,mf_carport_fee_monthly
Parcel_propertysubtype,,mf_garage_fee_monthly
Parcel_propertytype,,mf_lease_comments
Parcel_readyforuse,,mf_lease_notes
Parcel_schooldistrict,,mf_lease_survey_date
Parcel_southboundary,,mf_occupancy
Parcel_state,,mf_rent_concessions
Parcel_studentteacherratio,,mf_rent_per_mo_max
Parcel_submarket,,mf_rent_per_mo_min
Parcel_supportingfiles,,mf_rent_per_sf_max
Parcel_timestamp,,mf_rent_per_sf_min
Parcel_townshiprange,,mf_rent_per_sf_per_mo_max
Parcel_westboundary,,mf_rent_per_sf_per_mo_min
Parcel_zip,,mf_rent_type
Saleinfo_NIM,,mf_size_sf_max
Sales_activestatus,,mf_size_sf_min
Sales_adjustmentcomments,,mf_source_notes
Sales_appraisaldate,,mf_surveyed_unit_count_total
Sales_appraisedvalue,,mf_total_annual_rent
Sales_bookpageorrefdoc,,mf_total_rent_per_month
Sales_businessvalueadjustment,,mf_unit_amenities
Sales_buyertype,,mf_vacant_units_count
Sales_caprate,,mf_weighted_avg_rent_per_sf_per_mo
Sales_caprate,,mf_weighted_avg_rent_per_sf_per_year
Sales_cleanupcosts,,mf_weighted_avg_rent_per_unit
Sales_conditionsofsale,,mfamenities
Sales_conditionsofsaleadjustment,,min_lot_area
Sales_confidential,,minimum_lot_area
Sales_currentlistprice,,monthly_or_daily_rent
Sales_currentlppercentdiff,,msa
Sales_currentuse,,multifamily_gba
Sales_datasource,,municipality
Sales_daysonmarket,,name
Sales_diminutionsource,,neighborhood
Sales_discountrate,,neighborhoodcomments
Sales_egim,,net_income_multiplier
Sales_egim,,net_rentable_area
Sales_environmentalconcerns,,new_value
Sales_environmentalremarks,,nim
Sales_environmentalstatus,,no_of_baths
Sales_excesslandadjustment,,no_of_buildings
Sales_expendituresaftersaleadjustment,,no_of_craneways
Sales_expensegrowthrate,,no_of_docks
Sales_ffandeadjustment,,no_of_mf_bathrooms
Sales_financing,,no_of_multifamily_bedrooms
Sales_financingtermsadjustment,,no_of_multifamily_rooms
Sales_grantee,,no_of_tenants
Sales_grantor,,north_boundary
Sales_highestandbestuse,,notes
Sales_holdingperiodyears,,number_of_parcels
Sales_hotelroomrevmultiplier,,number_of_units
Sales_id,,occupancy_type
