LightBox Source Fields,CoStar Source Fields,Consolidated ERD Fields,LightBox Aligned Fields
Improvement_ramultifamilymeters,State,environmental_remarks,Sales_environmentalremarks
Improvement_raother,Studio Asking Rent/Bed,environmental_status,Sales_environmentalstatus
Improvement_raothermeters,Studio Asking Rent/SF,equalization_ratio,Assessment_equalizationratio
Improvement_ratotal,Studio Asking Rent/Unit,escalations,
Improvement_ratotalmeters,Studio Avg SF,excess_land_adjustment,Sales_excesslandadjustment
Improvement_remainingeconomiclife,Studio Concessions %,expenditures_after_sale_adjustment,Sales_expendituresaftersaleadjustment
Improvement_renovations,Studio Effective Rent/Bed,expense_growth_rate,Sales_expensegrowthrate
Improvement_residentialamenities,Studio Effective Rent/SF,expense_reimbursements,incExp_expensereimbursements
Improvement_residentialdesign,Studio Effective Rent/Unit,expense_stop,
Improvement_revpar,Studio Vacancy %,exterior_wall,Improvement_exteriorwall
Improvement_roofcover,Studio Vacant Units,exterior_wall_id,Improvement_Subrecords_exteriorwallid
Improvement_rooftype,Style,far,Parcel_far
Improvement_sourceforsfarea,Subcontinent,features,Improvement_features
Improvement_sprinklers,Submarket Cluster,fema_map_date,Sites_femamapdate
Improvement_Subrecords_basementsize,Submarket Name,ff_and_e,
Improvement_Subrecords_basementuseandfinish,Tax Year,ff_and_e_adjustment,Sales_ffandeadjustment
Improvement_Subrecords_ceilingheight,Taxes Per SF,field_changed,
Improvement_Subrecords_clearheight,Taxes Total,field_name,
Improvement_Subrecords_columnspacing,Three Bedroom Asking Rent/Bed,construction_class,Improvement_constructionclass
Improvement_Subrecords_condition,Three Bedroom Asking Rent/SF,current_list_price,Sales_currentlistprice
Improvement_Subrecords_conditionid,Three Bedroom Asking Rent/Unit,field_value,
Improvement_Subrecords_construction,Three Bedroom Avg SF,financing,Sales_financing
Improvement_Subrecords_constructionclass,Three Bedroom Concessions %,financing_terms_adjustment,Sales_financingtermsadjustment
Improvement_Subrecords_cooling,Three Bedroom Effective Rent/Bed,financing_type,
Improvement_Subrecords_coolingid,Three Bedroom Effective Rent/SF,finish,
Improvement_Subrecords_deferredmaintance,Three Bedroom Effective Rent/Unit,finish_condition,
Improvement_Subrecords_designappeal,Three Bedroom Vacancy %,fireplace_or_woodstove,Improvement_fireplaceorwoodstove
Improvement_Subrecords_docks,Three Bedroom Vacant Units,flood_map_panel,Sites_floodmappanel
Improvement_Subrecords_effectiveage,Total Buildings,flood_zone,Sites_floodzone
Improvement_Subrecords_exteriorwall,True Owner Address,floor,Unit Lease_floor
Improvement_Subrecords_exteriorwallid,True Owner City State Zip,floor_area_ratio,
Improvement_Subrecords_ffande,True Owner Contact,floor_level,
Improvement_Subrecords_fireplaceorwoodstove,True Owner Name,foundation_id,Improvement_Subrecords_foundationid
Improvement_Subrecords_foundation,True Owner Phone,foundation_type,Improvement_foundation
Improvement_Subrecords_foundationid,Two Bedroom Asking Rent/Bed,free_rent_months,
Improvement_Subrecords_garage,Two Bedroom Asking Rent/SF,front_set_back_distance,Zoning_Subrecords_frontsetbackdistance
Improvement_Subrecords_gbamultifamilymeters,Two Bedroom Asking Rent/Unit,garage_parking_spaces,Improvement_garageparkingspaces
Improvement_Subrecords_gbaothermeters,Two Bedroom Avg SF,garage_type,
Improvement_Subrecords_gbatotalmeters,Two Bedroom Concessions %,gba,
Improvement_Subrecords_heating,Two Bedroom Effective Rent/Bed,gba_total,
Improvement_Subrecords_heatingid,Two Bedroom Effective Rent/SF,gba_total_meters,
Improvement_Subrecords_id,Two Bedroom Effective Rent/Unit,geo_code,
Improvement_Subrecords_landscaping,Two Bedroom Vacancy %,geo_name,
Improvement_Subrecords_multifamilyamenities,Two Bedroom Vacant Units,geo_type,
Improvement_Subrecords_multifamilygba,Typical Floor Size,geography_id,
Improvement_Subrecords_NA_parcelId,University,grantee,Sales_grantee
Improvement_Subrecords_NA_ramultifamily,Water,grantee_buyer,
Improvement_Subrecords_noofbathrooms,Year Built,grantor,Sales_grantor
Improvement_Subrecords_noofbedrooms,Year Renovated,grantor_seller,
Improvement_Subrecords_noofbeds,Zip,gross_building_area,
Improvement_Subrecords_noofelevators,Zoning,heating_id,Improvement_Subrecords_heatingid
Improvement_Subrecords_noofescalators,,heating_type,Improvement_heating
Improvement_Subrecords_noofgolfholes,,highest_and_best_use,Sales_highestandbestuse
Improvement_Subrecords_noofhalfbaths,,holding_period_years,Sales_holdingperiodyears
Improvement_Subrecords_noofindustrialunits,,home_site_acres,Sites_homesiteacres
Improvement_Subrecords_noofofficeunits,,hotel_flag,Improvement_hotelflag
Improvement_Subrecords_noofotherunits,,hotel_room_rev_multiplier,Sales_hotelroomrevmultiplier
Improvement_Subrecords_noofretailunits,,id,Improvement_Subrecords_id
Improvement_Subrecords_noofrooms,,implied_value,Assessment_impliedvalue
Improvement_Subrecords_noofseats,,improvement_assessment,Assessment_assessmentyear
Improvement_Subrecords_noofstories,,improvement_comments,Sales_salecomments
Improvement_Subrecords_nooftruckdoors,,improvement_id,Parcel_id
Improvement_Subrecords_nooftruckdoorswithlevelers,,improvement_subrecords_condition,Improvement_Subrecords_condition
Improvement_Subrecords_noofunits,,improvement_subrecords_construction,Improvement_Subrecords_construction
Improvement_Subrecords_othergba,,improvement_subrecords_cooling,Improvement_Subrecords_cooling
Improvement_Subrecords_otherra,,improvement_subrecords_deferredmaintance,Improvement_Subrecords_deferredmaintance
