LightBox Source Fields,CoStar Source Fields,Consolidated ERD Fields
Improvement_Subrecords_designappeal,,expense_stop
Improvement_Subrecords_docks,,exterior_wall
Improvement_Subrecords_effectiveage,,exterior_wall_id
Improvement_Subrecords_exteriorwall,,far
Improvement_Subrecords_exteriorwallid,,features
Improvement_Subrecords_ffande,,fema_map_date
Improvement_Subrecords_fireplaceorwoodstove,,ff_and_e
Improvement_Subrecords_foundation,,ff_and_e_adjustment
Improvement_Subrecords_foundationid,,field_changed
Improvement_Subrecords_garage,,field_name
Improvement_Subrecords_garageparkingspaces,,field_value
Improvement_Subrecords_gbaothermeters,,financing
Improvement_Subrecords_gbatotalmeters,,financing_terms_adjustment
Improvement_Subrecords_heating,,financing_type
Improvement_Subrecords_heatingid,,finish
Improvement_Subrecords_id,,finish_condition
Improvement_Subrecords_landscaping,,fireplace_or_woodstove
Improvement_Subrecords_loadfactor,,flood_map_panel
Improvement_Subrecords_NA_parcelId,,flood_zone
Improvement_Subrecords_noofbays,,floor
Improvement_Subrecords_noofelevators,,floor_area_ratio
Improvement_Subrecords_noofescalators,,floor_level
Improvement_Subrecords_noofgolfholes,,foundation_id
Improvement_Subrecords_noofhalfbaths,,foundation_type
Improvement_Subrecords_noofseats,,free_rent_months
Improvement_Subrecords_noofspaces,,front_set_back_distance
Improvement_Subrecords_noofstories,,garage_parking_spaces
Improvement_Subrecords_nooftruckdoors,,garage_type
Improvement_Subrecords_nooftruckdoorswithlevelers,,gba
Improvement_Subrecords_othergba,,gba_total
Improvement_Subrecords_otherra,,gba_total_meters
Improvement_Subrecords_parking,,geo_code
Improvement_Subrecords_parkingadequacy,,geo_name
Improvement_Subrecords_parkingadequacyid,,geo_type
Improvement_Subrecords_parkingcomments,,geography_id
Improvement_Subrecords_parkingcondition,,grantee
Improvement_Subrecords_parkingconditionid,,grantee_buyer
Improvement_Subrecords_parkingtype,,grantor
Improvement_Subrecords_parkingtypeid,,grantor_seller
Improvement_Subrecords_perimetersf,,gross_building_area
Improvement_Subrecords_porchordeck,,heating_id
Improvement_Subrecords_quality,,heating_type
Improvement_Subrecords_qualityid,,highest_and_best_use
Improvement_Subrecords_raothermeters,,holding_period_years
Improvement_Subrecords_ratotalmeters,,home_site_acres
Improvement_Subrecords_remainingeconomiclife,,hotel_flag
Improvement_Subrecords_renovations,,hotel_room_rev_multiplier
Improvement_Subrecords_rentablearea,,id
Improvement_Subrecords_residentialamenities,,implied_value
Improvement_Subrecords_residentialdesign,,improvement_assessment
Improvement_Subrecords_roofcover,,improvement_comments
Improvement_Subrecords_roofcoverid,,improvement_id
Improvement_Subrecords_rooftype,,improvement_subrecords_condition
Improvement_Subrecords_rooftypeid,,improvement_subrecords_construction
Improvement_Subrecords_sourceforsfarea,,improvement_subrecords_cooling
Improvement_Subrecords_sprinklers,,improvement_subrecords_deferredmaintance
Improvement_Subrecords_sprinklersid,,improvement_subrecords_docks
Improvement_Subrecords_surfaceparkingspaces,,improvement_subrecords_foundation
Improvement_Subrecords_tenantimprovements,,improvement_subrecords_garage
Improvement_Subrecords_totaleconomiclife,,improvement_subrecords_heating
Improvement_Subrecords_usablearea,,improvement_subrecords_landscaping
Improvement_Subrecords_yearbuilt,,improvement_subrecords_landtobuildingratio
Improvement_surfaceparkingspaces,,improvement_subrecords_loadfactor
Improvement_totaleconomiclife,,improvement_subrecords_multifamilyamenities
Improvement_yearbuilt,,improvement_subrecords_noofbathrooms
Improvement_yearbuiltnumeric,,improvement_subrecords_noofbays
incExp_advertisingandmarketing,,improvement_subrecords_noofbedrooms
incExp_annualrent,,improvement_subrecords_noofbeds
incExp_baserentabatement,,improvement_subrecords_noofelevators
incExp_buildingrepairs,,improvement_subrecords_noofescalators
incExp_cam,,improvement_subrecords_noofgolfholes
incExp_cleaning,,improvement_subrecords_noofhalfbaths
incExp_comments,,improvement_subrecords_noofrooms
incExp_deductreserves,,improvement_subrecords_noofseats
incExp_egi,,improvement_subrecords_noofspaces
incExp_egipersf,,improvement_subrecords_noofstories
incExp_egiperunit,,improvement_subrecords_nooftruckdoors
incExp_electricexpense,,improvement_subrecords_nooftruckdoorswithlevelers
incExp_ExpensePerSF,,improvement_subrecords_noofunits
incExp_ExpensePerUnit,,improvement_subrecords_parking
incExp_expenseratio,,improvement_subrecords_parkingadequacy
incExp_expensereimbursements,,improvement_subrecords_parkingcomments
incExp_expleasingcommissions,,improvement_subrecords_parkingcondition
incExp_exptenantimprovements,,improvement_subrecords_parkingtype
incExp_financialstype,,improvement_subrecords_porchordeck
incExp_fuelexpense,,improvement_subrecords_proportionrenovated
incExp_gasexpense,,improvement_subrecords_quality
incExp_generalandadministrative,,improvement_subrecords_ratotalmeters
incExp_generalandadministrative2,,improvement_subrecords_remainingeconomiclife
incExp_GroundRentExp,,improvement_subrecords_renovations
incExp_groundsandsecurity,,improvement_subrecords_residentialamenities
incExp_insurance,,improvement_subrecords_residentialdesign
incExp_maintenancesalaries,,improvement_subrecords_roofcover
incExp_management,,improvement_subrecords_rooftype
incExp_managerleasingsalaries,,improvement_subrecords_sourceforsfarea
incExp_name,,improvement_subrecords_sprinklers
incExp_netparkingincome,,improvement_subrecords_surfaceparkingspaces
incExp_noi,,improvement_subrecords_tenantimprovements
incExp_noiperbed,,improvement_subrecords_totaleconomiclife
incExp_noipergbam2,,improvement_subrecords_typicalbaydepth
incExp_noiperrasf,,improvement_subrecords_usablearea
incExp_noipersf,,improvement_subrecords_yearbuilt
incExp_noiperunit,,improvement_value
incExp_noiperusablesf,,improvement_value_per_sf
incExp_nonrevenueunits,,income_growth
incExp_occupancy,,income_growth_rate
incExp_onsitemanagementexp,,income_target_percent
incExp_otherexpenses,,incometarget
incExp_otherincome,,industrial_gba
incExp_otherrepairs,,industrial_ra
incExp_othersalaries,,ingestion_timestamp
incExp_paintinganddecorating,,instance_type
incExp_payrolltaxes,,internal_comments
incExp_payrolltotal,,is_active
incExp_percentagerent,,is_confidential
incExp_pgi,,is_deleted
incExp_pgipersf,,is_excel_entry
incExp_pgiperunit,,is_ground_lease
incExp_professionalservicesexp,,is_lihtc
